MohoSwitch1
1 rest
3 rest
2 FV
4 AI
5 etc
7 AI
9 L
10 E
12 WQ
15 E
17 rest
19 rest
18 etc
20 E
21 etc
25 U
26 MBP
28 E
29 etc
31 L
33 AI
35 etc
37 WQ
39 AI
40 etc
42 MBP
44 U
46 L
48 E
50 AI
52 etc
54 rest
61 rest
60 WQ
62 E
64 etc
66 E
69 etc
73 U
74 MBP
75 etc
77 AI
78 FV
79 E
80 etc
85 AI
88 etc
90 MBP
92 AI
94 etc
95 E
97 FV
99 etc
101 AI
102 etc
104 FV
105 etc
107 AI
108 MBP
109 etc
111 MBP
113 etc
115 E
117 etc
119 AI
121 etc
123 rest
140 rest
139 etc
142 E
144 etc
149 E
151 etc
153 AI
154 FV
155 etc
157 O
158 etc
162 AI
165 L
167 etc
171 AI
174 etc
176 rest
178 rest
177 L
179 E
182 etc
186 E
188 MBP
190 FV
192 E
194 etc
198 AI
201 etc
203 FV
205 AI
208 etc
210 AI
212 FV
214 MBP
216 U
218 L
221 E
223 AI
225 etc
227 rest
245 rest
244 etc
246 AI
247 etc
252 U
254 FV
255 O
256 etc
257 WQ
260 AI
263 etc
266 AI
269 etc
274 rest
